time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/n_updates,train/loss
5111,0,100.0,400,0.8998866666666666,0.25,4,,,
4936,0,100.0,800,0.8997733333333334,0.25,8,,,
4953,0,100.0,1200,0.89966,0.16666666666666666,12,,,
5002,0,100.0,1600,0.8995466666666665,0.125,16,,,
5034,0,100.0,2000,0.8994333333333334,0.1,20,,,
5100,0,100.0,2400,0.89932,0.08333333333333333,24,,,
5146,0,100.0,2800,0.8992066666666668,0.10714285714285714,28,,,
5152,0,100.0,3200,0.8990933333333334,0.09375,32,,,
5185,0,100.0,3600,0.8989799999999999,0.08333333333333333,36,,,
5195,0,100.0,4000,0.8988666666666668,0.075,40,,,
5220,0,100.0,4400,0.8987533333333334,0.06818181818181818,44,,,
5240,0,100.0,4800,0.8986399999999999,0.0625,48,,,
5246,0,100.0,5200,0.8985266666666668,0.057692307692307696,52,,,
5263,1,100.0,5600,0.8984133333333333,0.05357142857142857,56,,,
5266,1,100.0,6000,0.8982999999999999,0.06666666666666667,60,,,
5280,1,100.0,6400,0.8981866666666668,0.0625,64,,,
5291,1,100.0,6800,0.8980733333333333,0.058823529411764705,68,,,
5286,1,100.0,7200,0.8979599999999999,0.05555555555555555,72,,,
5295,1,100.0,7600,0.8978466666666667,0.05263157894736842,76,,,
5297,1,100.0,8000,0.8977333333333333,0.05,80,,,
5309,1,100.0,8400,0.8976200000000002,0.047619047619047616,84,,,
5318,1,100.0,8800,0.8975066666666667,0.045454545454545456,88,,,
5313,1,100.0,9200,0.8973933333333333,0.043478260869565216,92,,,
5320,1,100.0,9600,0.8972800000000001,0.041666666666666664,96,,,
5318,1,100.0,10000,0.8971666666666667,0.04,100,,,
5323,1,100.0,10400,0.8970533333333333,0.04,104,,,
5322,2,100.0,10800,0.8969400000000001,0.04,108,,,
5293,2,100.0,11200,0.8968266666666667,0.04,112,,,
5292,2,100.0,11600,0.8967133333333333,0.05,116,,,
5269,2,100.0,12000,0.8966000000000001,0.06,120,,,
5272,2,100.0,12400,0.8964866666666667,0.06,124,,,
5274,2,100.0,12800,0.8963733333333335,0.05,128,,,
5272,2,100.0,13200,0.8962600000000001,0.05,132,,,
5277,2,100.0,13600,0.8961466666666666,0.05,136,,,
5269,2,100.0,14000,0.8960333333333335,0.05,140,,,
5274,2,100.0,14400,0.89592,0.05,144,,,
5277,2,100.0,14800,0.8958066666666666,0.05,148,,,
5266,2,100.0,15200,0.8956933333333335,0.05,152,,,
5268,2,100.0,15600,0.89558,0.05,156,,,
5268,3,100.0,16000,0.8954666666666665,0.04,160,,,
5273,3,100.0,16400,0.8953533333333334,0.04,164,,,
5278,3,100.0,16800,0.89524,0.04,168,,,
5277,3,100.0,17200,0.8951266666666665,0.04,172,,,
5279,3,100.0,17600,0.8950133333333334,0.04,176,,,
5279,3,100.0,18000,0.8948999999999999,0.04,180,,,
5282,3,100.0,18400,0.8947866666666668,0.04,184,,,
5286,3,100.0,18800,0.8946733333333334,0.04,188,,,
5285,3,100.0,19200,0.8945599999999999,0.05,192,,,
5288,3,100.0,19600,0.8944466666666668,0.05,196,,,
5289,3,100.0,20000,0.8943333333333333,0.06,200,,,
5293,3,100.0,20400,0.8942199999999999,0.06,204,,,
